SFO,PVG,09/01/21,"$2,136",7:10pm - 6:00am,67h 50m (3 stops),20h 57m in Salt Lake City (SLC) • 23h 30m in Detroit (DTW) • 2h in Seoul (ICN),Delta
SFO,PVG,09/01/21,"$3,019",9:00pm - 2:50pm,26h 50m (3 stops),2h 23m in Los Angeles (LAX) • 2h 24m in Dallas (DFW) • 1h in Seoul (ICN),Multiple airlines • Alaska Airlines 2534 operated by Horizon Air As Alaskahorizon
SFO,PVG,09/01/21,"$3,019",8:05pm - 2:50pm,27h 45m (3 stops),3h 15m in Las Vegas (LAS) • 2h 43m in Dallas (DFW) • 1h in Seoul (ICN),Multiple airlines • Alaska Airlines 3438 operated by Skywest Airlines As Alaskaskywest
SFO,PVG,09/01/21,"$3,019",3:15pm - 2:50pm,32h 35m (3 stops),1h 29m in Las Vegas (LAS) • 9h 13m in Dallas (DFW) • 1h in Seoul (ICN),Multiple airlines • Alaska Airlines 2201 operated by Horizon Air As Alaskahorizon
SFO,PVG,09/01/21,"$3,025",6:25pm - 2:50pm,29h 25m (3 stops),4h 58m in Los Angeles (LAX) • 2h 24m in Dallas (DFW) • 1h in Seoul (ICN),Multiple airlines • Alaska Airlines 2462 operated by Horizon Air As Alaskahorizon
SFO,PVG,09/01/21,"$3,025",5:10pm - 2:50pm,30h 40m (3 stops),6h 13m in Los Angeles (LAX) • 2h 24m in Dallas (DFW) • 1h in Seoul (ICN),Multiple airlines • Alaska Airlines 2560 operated by Horizon Air As Alaskahorizon
SFO,PVG,09/01/21,"$3,025",5:00pm - 2:50pm,30h 50m (3 stops),6h 23m in Austin (AUS) • 2h 9m in Dallas (DFW) • 1h in Seoul (ICN),Multiple airlines • Alaska Airlines 3398 operated by Skywest Airlines As Alaskaskywest
SFO,PVG,09/01/21,"$3,025",3:15pm - 2:50pm,32h 35m (3 stops),8h 5m in Las Vegas (LAS) • 2h 43m in Dallas (DFW) • 1h in Seoul (ICN),Multiple airlines • Alaska Airlines 2201 operated by Horizon Air As Alaskahorizon
SFO,PVG,09/01/21,"$3,025",1:45pm - 2:50pm,34h 5m (3 stops),9h 38m in Los Angeles (LAX) • 2h 24m in Dallas (DFW) • 1h in Seoul (ICN),Multiple airlines • Alaska Airlines 2439 operated by Horizon Air As Alaskahorizon
SFO,PVG,09/01/21,"$3,025",12:10pm - 2:50pm,35h 40m (3 stops),11h 13m in Austin (AUS) • 2h 9m in Dallas (DFW) • 1h in Seoul (ICN),Multiple airlines • Alaska Airlines 3489 operated by Skywest Airlines As Alaskaskywest
SFO,PVG,09/01/21,"$10,619",3:05pm - 2:50pm,32h 45m (3 stops),2h 17m in Orange County (SNA) • 8h 26m in Dallas (DFW) • 1h in Seoul (ICN),Multiple airlines • Alaska Airlines 3465 operated by Skywest Airlines As Alaskaskywest
